,isced11,genero,edad,edad_ingresos,geo,periodo,satisfaccion_general,mediana_ingresos,media_ingresos,no_afrontar_imprevistos(%)
62,ED0-2,F,Y16-19,Y16-24,IE,2023-01-01,7.5,28687.0,34156.0,34.4
63,ED0-2,F,Y16-19,Y16-24,IE,2024-01-01,7.4,31874.0,36650.0,31.5
64,ED0-2,F,Y16-19,Y16-24,IT,2021-01-01,7.8,15485.0,17427.0,32.7
65,ED0-2,F,Y16-19,Y16-24,IT,2022-01-01,7.8,16596.0,18765.0,32.9
66,ED0-2,F,Y16-19,Y16-24,IT,2023-01-01,7.6,17906.0,20138.0,28.8
67,ED0-2,F,Y16-19,Y16-24,IT,2024-01-01,7.5,18351.0,20739.0,29.9
68,ED0-2,F,Y16-19,Y16-24,LT,2021-01-01,7.7,9680.0,11335.0,36.4
69,ED0-2,F,Y16-19,Y16-24,LT,2022-01-01,7.9,10627.0,12490.0,39.3
70,ED0-2,F,Y16-19,Y16-24,LT,2023-01-01,8.2,10998.0,13206.0,40.5
71,ED0-2,F,Y16-19,Y16-24,LT,2024-01-01,8.2,11927.0,14183.0,41.3
72,ED0-2,F,Y16-19,Y16-24,LU,2021-01-01,7.4,36373.0,40719.0,21.3
73,ED0-2,F,Y16-19,Y16-24,LU,2022-01-01,7.9,36732.0,41751.0,18.8
74,ED0-2,F,Y16-19,Y16-24,LU,2023-01-01,7.3,35088.0,42908.0,24.1
75,ED0-2,F,Y16-19,Y16-24,LU,2024-01-01,7.7,35624.0,43890.0,22.5
76,ED0-2,F,Y16-19,Y16-24,LV,2021-01-01,7.3,9167.0,10317.0,41.9
77,ED0-2,F,Y16-19,Y16-24,LV,2022-01-01,7.8,10449.0,11476.0,44.1
78,ED0-2,F,Y16-19,Y16-24,LV,2023-01-01,7.5,10835.0,12218.0,44.8
79,ED0-2,F,Y16-19,Y16-24,LV,2024-01-01,7.3,12573.0,14357.0,45.2
80,ED0-2,F,Y16-19,Y16-24,MT,2021-01-01,7.56,17380.0,19276.0,15.7
81,ED0-2,F,Y16-19,Y16-24,MT,2022-01-01,7.66,19092.0,20875.0,15.4
82,ED0-2,F,Y16-19,Y16-24,MT,2023-01-01,7.78,19882.0,24797.0,15.9
83,ED0-2,F,Y16-19,Y16-24,MT,2024-01-01,7.8,20041.0,23796.0,18.3
84,ED0-2,F,Y16-19,Y16-24,NL,2021-01-01,7.9,25439.0,27030.0,15.1
85,ED0-2,F,Y16-19,Y16-24,NL,2022-01-01,7.6,26272.0,28441.0,14.7
86,ED0-2,F,Y16-19,Y16-24,NL,2023-01-01,7.1,26515.0,29233.0,15.9
87,ED0-2,F,Y16-19,Y16-24,NL,2024-01-01,7.3,28522.0,30950.0,17.0
88,ED0-2,F,Y16-19,Y16-24,NO,2021-01-01,7.6,27564.0,29602.0,23.4
89,ED0-2,F,Y16-19,Y16-24,NO,2022-01-01,7.7,30788.0,36070.0,22.0
90,ED0-2,F,Y16-19,Y16-24,NO,2023-01-01,7.9,33690.0,36666.0,24.2
91,ED0-2,F,Y16-19,Y16-24,NO,2024-01-01,7.6,33445.0,33365.0,23.7
92,ED0-2,F,Y16-19,Y16-24,PL,2021-01-01,8.1,7450.0,8149.0,24.7
93,ED0-2,F,Y16-19,Y16-24,PL,2022-01-01,8.0,8062.0,8747.0,27.3
94,ED0-2,F,Y16-19,Y16-24,PL,2023-01-01,7.9,9122.0,9806.0,26.0
95,ED0-2,F,Y16-19,Y16-24,PL,2024-01-01,7.9,10707.0,11793.0,23.0
96,ED0-2,F,Y16-19,Y16-24,PT,2021-01-01,7.56,10359.0,11605.0,31.2
97,ED0-2,F,Y16-19,Y16-24,PT,2022-01-01,7.0,10095.0,11856.0,29.9
98,ED0-2,F,Y16-19,Y16-24,PT,2023-01-01,8.9,10524.0,12474.0,30.5
99,ED0-2,F,Y16-19,Y16-24,PT,2024-01-01,7.4,12105.0,13802.0,28.7
100,ED0-2,F,Y16-19,Y16-24,RO,2021-01-01,8.2,4427.0,4980.0,47.3
101,ED0-2,F,Y16-19,Y16-24,RO,2022-01-01,8.2,4764.0,5259.0,47.9
102,ED0-2,F,Y16-19,Y16-24,RO,2023-01-01,8.6,5907.0,6424.0,46.4
103,ED0-2,F,Y16-19,Y16-24,RO,2024-01-01,8.3,7176.0,7674.0,40.1
104,ED0-2,F,Y16-19,Y16-24,SE,2021-01-01,7.6,21824.0,24692.0,18.4
105,ED0-2,F,Y16-19,Y16-24,SE,2022-01-01,7.3,22340.0,23809.0,21.2
106,ED0-2,F,Y16-19,Y16-24,SE,2023-01-01,7.2,22920.0,25398.0,21.9
107,ED0-2,F,Y16-19,Y16-24,SE,2024-01-01,7.5,22513.0,25349.0,22.5
108,ED0-2,F,Y16-19,Y16-24,SI,2021-01-01,7.56,15161.0,16248.0,24.6
109,ED0-2,F,Y16-19,Y16-24,SI,2022-01-01,8.5,16648.0,17562.0,24.6
110,ED0-2,F,Y16-19,Y16-24,SI,2023-01-01,8.1,18516.0,19624.0,22.7
111,ED0-2,F,Y16-19,Y16-24,SI,2024-01-01,8.6,20246.0,21583.0,23.2
112,ED0-2,F,Y16-19,Y16-24,SK,2021-01-01,8.4,7690.0,8025.0,27.0
113,ED0-2,F,Y16-19,Y16-24,SK,2022-01-01,7.8,7662.0,7862.0,27.0
114,ED0-2,F,Y16-19,Y16-24,SK,2023-01-01,8.3,8453.0,8335.0,29.3
115,ED0-2,F,Y16-19,Y16-24,SK,2024-01-01,8.2,8821.0,8869.0,28.2
116,ED0-2,F,Y16-19,Y16-24,TR,2021-01-01,5.9,2426.0,3218.0,33.4
117,ED0-2,F,Y16-19,Y16-24,TR,2022-01-01,5.7,2467.0,3372.0,31.1
118,ED0-2,F,Y16-19,Y16-24,TR,2023-01-01,5.9,2630.0,3613.0,31.8
119,ED0-2,F,Y16-19,Y16-24,TR,2024-01-01,6.1,3662.0,5057.0,26.8
120,ED0-2,F,Y16-24,Y16-24,AT,2021-01-01,8.2,27305.0,28228.0,18.6
121,ED0-2,F,Y16-24,Y16-24,AT,2022-01-01,8.1,26070.0,28058.0,19.0
122,ED0-2,F,Y16-24,Y16-24,AT,2023-01-01,7.8,30700.0,32885.0,22.8
123,ED0-2,F,Y16-24,Y16-24,AT,2024-01-01,7.7,31026.0,33804.0,20.9
124,ED0-2,F,Y16-24,Y16-24,BE,2021-01-01,7.4,24390.0,25223.0,22.3
125,ED0-2,F,Y16-24,Y16-24,BE,2022-01-01,7.7,26563.0,27847.0,22.7
126,ED0-2,F,Y16-24,Y16-24,BE,2023-01-01,7.6,27845.0,29150.0,21.5
127,ED0-2,F,Y16-24,Y16-24,BE,2024-01-01,7.7,29218.0,30365.0,21.5
128,ED0-2,F,Y16-24,Y16-24,BG,2021-01-01,6.3,4637.0,5727.0,36.4
129,ED0-2,F,Y16-24,Y16-24,BG,2022-01-01,5.8,5234.0,6239.0,42.4
